date,day,bottle,structure,bottle.number,replicate,connectivity,position,eup.density,tetra.density,ln.pred,ln.prey,pred.oc,prey.oc
7/10/19,0,D1A,dendritic,1,A,2,A,0.0000419,0.00664273,4.19E-05,0.006620764,1,1
7/10/19,0,D1B,dendritic,1,B,2,A,121.323114,2140.2,4.806666019,7.669121699,1,1
7/10/19,0,D1C,dendritic,1,C,2,A,0.01882152,0.55170263,0.018646587,0.439352799,1,1
7/10/19,0,D1D,dendritic,1,D,2,A,0.01689747,74613.95,0.016756296,11.22009617,1,1
7/12/19,2,D1A,dendritic,1,A,2,A,0,0,0,0,0,0
7/12/19,2,D1B,dendritic,1,B,2,A,119.4690265,12750,4.791392678,9.453364979,1,1
7/12/19,2,D1C,dendritic,1,C,2,A,0,8454.545455,0,9.042577772,0,1
7/12/19,2,D1D,dendritic,1,D,2,A,0,112208.5502,0,11.62812339,0,1
7/15/19,5,D1A,dendritic,1,A,2,A,0,0,0,0,0,0
7/15/19,5,D1B,dendritic,1,B,2,A,490.9983633,496.4539007,6.19847539,6.20950289,1,1
7/15/19,5,D1C,dendritic,1,C,2,A,0,22483.87097,0,10.02059796,0,1
7/15/19,5,D1D,dendritic,1,D,2,A,0,40155.81525,0,10.60054745,0,1
7/17/19,7,D1A,dendritic,1,A,2,A,0,0,0,0,0,0
7/17/19,7,D1B,dendritic,1,B,2,A,812.9032258,7993.548387,6.701841472,8.986515137,1,1
7/17/19,7,D1C,dendritic,1,C,2,A,0,32532.6087,0,10.39002895,0,1
7/17/19,7,D1D,dendritic,1,D,2,A,0,14715.13433,0,9.596699744,0,1
7/19/19,9,D1A,dendritic,1,A,2,A,0,0,0,0,0,0
7/19/19,9,D1B,dendritic,1,B,2,A,793.0178858,472.8640516,6.677105987,6.16092047,1,1
7/19/19,9,D1C,dendritic,1,C,2,A,871.6368377,2179.092094,6.771519476,7.6871224,1,1
7/19/19,9,D1D,dendritic,1,D,2,A,157.8947368,1846.87015,5.06824195,7.521788985,1,1
7/22/19,12,D1A,dendritic,1,A,2,A,0,0,0,0,0,0
7/22/19,12,D1B,dendritic,1,B,2,A,480,2280,6.17586727,7.732369222,1,1
7/22/19,12,D1C,dendritic,1,C,2,A,1474.226804,2835.051546,7.296567022,7.950168063,1,1
7/22/19,12,D1D,dendritic,1,D,2,A,1110.38961,285.7142857,7.013366412,5.6584862,1,1
7/24/19,14,D1A,dendritic,1,A,2,A,13.39285714,0,2.666732052,0,1,0
7/24/19,14,D1B,dendritic,1,B,2,A,1194.52917,1466.013072,7.086344186,7.290983689,1,1
7/24/19,14,D1C,dendritic,1,C,2,A,722.513089,36.64921466,6.584118637,3.628312095,1,1
7/24/19,14,D1D,dendritic,1,D,2,A,1529.085873,77.56232687,7.333079139,4.363892283,1,1
7/26/19,16,D1A,dendritic,1,A,2,A,0,0,0,0,0,0
7/26/19,16,D1B,dendritic,1,B,2,A,623.255814,386.0465116,6.436560243,5.958544871,1,1
7/26/19,16,D1C,dendritic,1,C,2,A,377.3584906,30.59663437,5.935842134,3.453050608,1,1
7/26/19,16,D1D,dendritic,1,D,2,A,458.8528678,219.4513716,6.130906586,5.395677134,1,1
7/29/19,19,D1A,dendritic,1,A,2,A,0,0,0,0,0,0
7/29/19,19,D1B,dendritic,1,B,2,A,94.66865969,219.2326856,4.56089076,5.394684649,1,1
7/29/19,19,D1C,dendritic,1,C,2,A,0,4.58715596,0,1.720470385,0,1
7/29/19,19,D1D,dendritic,1,D,2,A,689.6551724,1192.118227,6.537640672,7.084325518,1,1
7/31/19,21,D1A,dendritic,1,A,2,A,0,218.401487,0,5.390903325,0,1
7/31/19,21,D1B,dendritic,1,B,2,A,16.12903226,19318.18182,2.840774817,9.868853758,1,1
7/31/19,21,D1C,dendritic,1,C,2,A,0,882.6086957,0,6.784014313,0,1
7/31/19,21,D1D,dendritic,1,D,2,A,10.95290252,777.6560789,2.480974138,6.657569458,1,1
8/2/19,23,D1A,dendritic,1,A,2,A,0,105.5276382,0,4.668404465,0,1
8/2/19,23,D1B,dendritic,1,B,2,A,0,6668.604651,0,8.805315864,0,1
8/2/19,23,D1C,dendritic,1,C,2,A,0,3150.234742,0,8.055549637,0,1
8/2/19,23,D1D,dendritic,1,D,2,A,54.05405405,924.3243243,4.008315504,6.830144297,1,1
